serial number,account_info,duration_month,Loan,Regularity,Purpose,credit_amount,savings_account,Saving Account,employment_st,Salary,investment,Gender,Status,gurantors,resident_since,property_type,age,installment_type,housing_type,credits_no,job_type,liables,telephone,foreigner
175,BRONZE,21,YES,NO,A46,3414,A61,56,A72,2141,42.82,M,Umarried,A101,1,A122,26,A143,A152,2,A173,1,A191,A201
176,NA,30,NO,YES,A40,7485,A65,NA,A71,993,39.72,F,Divorced,A101,1,A121,53,A141,A152,1,A174,1,A192,A201
177,BRONZE,12,YES,YES,A40,2577,A61,81,A73,2230,44.6,M,Divorced,A101,1,A123,42,A143,A152,1,A173,1,A191,A201
178,BRONZE,6,YES,NO,A40,338,A63,623,A75,1116,44.64,M,Umarried,A101,4,A123,52,A143,A152,2,A173,1,A191,A201
179,NA,12,YES,YES,A40,1963,A61,76,A74,1112,44.48,M,Umarried,A101,2,A123,31,A143,A151,2,A174,2,A192,A201
180,BRONZE,21,YES,NO,A40,571,A61,2,A75,1165,46.6,M,Umarried,A101,4,A121,65,A143,A152,2,A173,1,A191,A201
181,NA,36,YES,NO,A49,9572,A61,81,A72,2888,28.88,M,Divorced,A101,1,A123,28,A143,A152,2,A173,1,A191,A201
182,SILVER,36,YES,NO,A49,4455,A61,95,A73,2307,46.14,M,Divorced,A101,2,A121,30,A142,A152,2,A174,1,A192,A201
183,BRONZE,21,NO,YES,A40,1647,A65,NA,A73,904,36.16,M,Umarried,A101,2,A122,40,A143,A152,2,A172,2,A191,A201
184,NA,24,YES,NO,A40,3777,A64,1926,A73,863,34.52,M,Umarried,A101,4,A121,50,A143,A152,1,A173,1,A192,A201
185,SILVER,18,YES,NO,A40,884,A61,33,A75,1164,46.56,M,Umarried,A101,4,A123,36,A141,A152,1,A173,2,A192,A201
186,NA,15,YES,NO,A40,1360,A61,63,A73,779,31.16,M,Umarried,A101,2,A122,31,A143,A152,2,A173,1,A191,A201
187,SILVER,9,NO,YES,A40,5129,A61,67,A75,2236,44.72,F,Divorced,A101,4,A124,74,A141,A153,1,A174,2,A192,A201
188,SILVER,16,YES,NO,A40,1175,A61,89,A71,1836,36.72,M,Umarried,A101,3,A123,68,A143,A153,3,A171,1,A192,A201
189,BRONZE,12,YES,YES,A40,674,A62,273,A74,941,37.64,M,Married,A101,1,A122,20,A143,A152,1,A173,1,A191,A201
190,SILVER,18,NO,YES,A40,3244,A61,6,A73,3242,32.42,F,Divorced,A101,4,A123,33,A141,A152,2,A173,1,A192,A201
191,NA,24,YES,YES,A49,4591,A64,3353,A73,2127,42.54,M,Umarried,A101,3,A122,54,A143,A152,3,A174,1,A192,A201
192,SILVER,48,NO,YES,A49,3844,A62,372,A74,936,37.44,M,Umarried,A101,4,A124,34,A143,A153,1,A172,2,A191,A201
193,SILVER,27,YES,YES,A49,3915,A61,11,A73,1189,47.56,M,Umarried,A101,2,A123,36,A143,A152,1,A173,2,A192,A201
